College Name,Branch,Parent Branch,STATE,Campus,priority_campus,proximity,Placement ,priority_Placment,Coding_Culture,Priority_CC,Cultural_Activity,Priority_CA,Higher Education,priority_Higher_Edu,Brand_Value,Priority_BV,Entrepreneurship_Culture,Priority_ECell,Total,CLOSING
IIT BOMBAY,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Maharashtra,100,,,138,,200,,100,,100,,100,,100,,,67
IIT DELHI,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,DELHI,100,,,135,,200,,95,,100,,95,,100,,,100
IIT KANPUR,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Uttar Pradesh,85,,,143,,230,,80,,100,,100,,100,,,238
IIT Kharagpur,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,West Bengal,80,,,108,,151,,90,,90,,90,,90,,,279
IIT MADRAS,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Tamil Nadu,90,,,105,,150,,80,,100,,100,,100,,,148
IIT GUWAHATI,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Assam,80,,,92,,228,,75,,85,,85,,85,,,654
IIT BHU,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Uttar Pradesh,80,,,82,,160,,75,,85,,85,,85,,,1079
IIT HYDERABAD,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Telangana,70,,,81,,108,,60,,80,,80,,80,,,674
IIT ROORKEE,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Uttarakhand,80,,,80,,270,,80,,80,,80,,80,,,412
IIT INDORE,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Madhya Pradesh,75,,,77,,240,,60,,80,,80,,80,,,1385
IIT PATNA,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Bihar,70,,,90,,256,,60,,70,,70,,70,,,2811
IIT ROPAR,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Punjab,70,,,70,,128,,60,,70,,70,,70,,,1859
IIT DHANBAD,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Jharkhand,75,,,70,,134,,70,,80,,80,,80,,,3258
IIT GANDHINAGAR,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Gujarat,75,,,73,,43,,60,,70,,70,,70,,,1555
IIT JODHPUR,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Rajasthan,70,,,70,,80,,60,,70,,70,,70,,,2408
IIT MANDI,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Himachal Pradesh,60,,,68,,100,,60,,70,,70,,70,,,2909
IIT TIRUPATI,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Andhra Pradesh,75,,,63,,78,,60,,70,,70,,70,,,3701
IIT BHUBANESHWAR,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Odisha,75,,,58,,70,,60,,70,,70,,70,,,3101
IIT JAMMU,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Jammu and Kashmir,75,,,58,,39,,60,,70,,70,,70,,,4856
IIT GOA,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Goa,60,,,53,,30,,60,,70,,70,,70,,,4232
IIT PALAKKAD,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Kerala,75,,,53,,50,,60,,70,,70,,70,,,5162
IIT DHARWAD,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Karnataka,70,,,48,,35,,60,,70,,70,,70,,,5978
IIT BHILAI,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Chhattisgarh,75,,,44,,150,,60,,70,,70,,70,,,5791
